BME688,21.46,65.88,270.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
BOOT_BUTTON,24.00,107.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,94.87,18.66,0.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C10,90.71,49.09,270.00,100nF,EAGLE-LTSPICE_C0402
C1_BAT,140.63,57.01,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,134.50,68.06,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,130.77,70.08,0.00,4.7uF,EAGLE-LTSPICE_C0402
C2,97.36,11.09,180.00,10uF,EAGLE-LTSPICE_C0402
C2_BAT,143.74,55.01,270.00,4.7uF,EAGLE-LTSPICE_C0402
C3,67.03,108.18,270.00,100nF,EAGLE-LTSPICE_C0402
C3_TNAT,135.01,59.26,180.00,100uF,RCL_CT3528
C4,27.10,108.01,270.00,100nF,EAGLE-LTSPICE_C0402
C4_USB,149.49,55.86,180.00,100nF,EAGLE-LTSPICE_C0402
C5,52.06,108.17,270.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,149.47,57.46,180.00,4.7uF,EAGLE-LTSPICE_C0402
C6,21.48,69.01,0.00,100nF,EAGLE-LTSPICE_C0402
C7,21.51,70.57,0.00,100nF,EAGLE-LTSPICE_C0402
C8,93.93,49.50,270.00,CPH3225A,CAPCP3225X100N
C9,7.33,97.09,270.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.00,107.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
C_DELAY,51.82,102.85,270.00,100nF,EAGLE-LTSPICE_C0402
D1,149.41,53.33,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,19.76,83.83,0.00,"PGB1010603MR""""",DIOC1608X36N
D11,19.61,92.33,0.00,"PGB1010603MR""""",DIOC1608X36N
D12,90.79,60.37,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D2,137.20,69.12,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,77.18,16.33,270.00,"MBR0530""""",SOD3716X135N
D4,96.03,21.40,180.00,"MBR0530""""",SOD3716X135N
D5,80.95,16.41,90.00,"MBR0530""""",SOD3716X135N
D6,10.71,96.33,0.00,"PGB1010603MR""""",DIOC1608X36N
D7,24.54,39.58,90.00,"PGB1010603MR""""",DIOC1608X36N
D8,40.24,60.02,180.00,"PGB1010603MR""""",DIOC1608X36N
D9,19.79,87.71,0.00,"PGB1010603MR""""",DIOC1608X36N
EPD_C1,87.47,9.06,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,75.91,8.88,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,86.42,9.03,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C3,82.22,8.97,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C4,81.17,8.96,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,83.28,9.01,270.00,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,80.12,8.96,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,79.07,8.96,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,78.01,8.92,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,76.96,8.92,270.00,1uF/50V,EAGLE-LTSPICE_C0402
GHC_LED,135.07,54.21,180.00,,ADAFRUIT_CHIP-LED0603
IC1,135.50,64.25,270.00,XC6220A331MR-G,SOT95P280X120-5N
IC2,48.26,102.25,0.00,BD5229G-TR,SOT95P280X125-5N
J1,162.93,52.98,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J2,163.35,18.03,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
